id	length	MFE	Z-curve_x	Z-curve_y	Z-curve_z	GC	AUGC	GCskew
ENST00000341376	3811	-1194.50	0.0480188926790869	-0.0081343479401732	0.099973760167935	0.495932826029913	1.22215743440233	0.0623906705539358
ENST00000358495	2710	-851.24	0.00738007380073791	-0.00590405904059033	0.0450184501845019	0.497047970479705	1.09428129829985	0.0139103554868624
ENST00000309955	14612	-5113.43	0.0169723514919244	0.0104024089789214	0.118806460443471	0.505201204489461	1.26964895930413	0.00745573159366264
ENST00000233156	3859	-862.50	-0.0546773775589531	-0.0111427831044312	0.306556102617258	0.494428608447784	1.88415545590433	-0.0627802690582959
ENST00000002125	2184	-633.30	0.0815018315018315	-0.021062271062271	0.146520146520146	0.489468864468864	1.34334763948498	0.120171673819743
ENST00000347869	3188	-1047.90	0.088456712672522	0.000627352572145634	0.013801756587202	0.500313676286073	1.02798982188295	0.089058524173028
ENST00000324093	7094	-3102.40	-0.0155060614603891	0.0448266140400339	-0.26980546941077	0.522413307020017	0.575044404973357	-0.0475133214920072
ENST00000266022	3630	-1143.20	0.146005509641873	0.0198347107438017	0.0407713498622589	0.509917355371901	1.08500861573808	0.131533601378518
ENST00000158166	2459	-1082.20	0.0345668971126474	-0.00203334688897927	-0.212688084587231	0.49898332655551	0.649228705566734	0.0301810865191147
ENST00000314748	1054	-312.50	0.0910815939278937	-0.0132827324478177	0.117647058823529	0.493358633776091	1.26666666666667	0.118279569892473
ENST00000007510	2545	-1142.30	-0.0538310412573674	0.00589390962671898	-0.280943025540275	0.502946954813359	0.561349693251534	-0.0466257668711656
ENST00000331536	3175	-898.60	0.0456692913385827	-0.0343307086614173	0.195590551181102	0.482834645669291	1.48629600626468	0.0994518402505873
ENST00000265723	4020	-1238.80	0.0835820895522388	-0.0174129353233831	0.0840796019900498	0.491293532338308	1.1835958718088	0.110266159695818
ENST00000005082	2021	-511.10	0.0925284512617517	0.102424542305789	0.164769915883226	0.551212271152895	1.39454976303318	-0.0118483412322275
ENST00000357337	14736	-4307.40	0.0703040173724214	0.0172366992399566	0.128528773072747	0.508618349619978	1.29496963089861	0.0608939417536209
ENST00000007414	3664	-1556.50	-0.0338427947598254	0.0502183406113538	-0.220524017467249	0.525109170305677	0.638640429338104	-0.0688729874776387
ENST00000005286	3480	-1713.10	-0.0189655172413792	-0.00229885057471263	-0.345402298850575	0.498850574712644	0.486544211875267	-0.0123878684322938
ENST00000006053	3285	-1383.80	-0.0532724505327245	0.0301369863013699	-0.197564687975647	0.515068493150685	0.670055922724962	-0.0696492119979665
ENST00000381250	4025	-1703.30	0.0295652173913044	0.0236024844720497	-0.225341614906832	0.511801242236025	0.632197891321979	0.00486618004866179
ENST00000397560	9220	-2439.10	0.0143167028199567	-0.0414316702819957	0.234056399132321	0.479284164859002	1.61115831209289	0.0727839139054093
ENST00000248550	4778	-1192.30	0.0125575554625366	-0.0242779405609042	0.275847634993721	0.487861029719548	1.76184971098266	0.0508670520231214
ENST00000264042	4009	-1470.60	0.0351708655525069	0.0651035170865553	-0.100523821401846	0.532551758543278	0.817316409791478	-0.027198549410698
ENST00000005558	1834	-525.70	0.0381679389312977	0.00327153762268262	0.0905125408942203	0.501635768811341	1.19904076738609	0.038369304556355
ENST00000241001	1736	-513.20	0.0714285714285714	0.141705069124424	-0.042626728110599	0.570852534562212	0.918232044198895	-0.067403314917127
ENST00000293872	1456	-500.90	0.133241758241758	-0.00961538461538458	-0.076923076923077	0.495192307692308	0.857142857142857	0.13265306122449
ENST00000324385	4678	-2149.50	0.00940572894399316	0.00726806327490381	-0.278751603249252	0.503634031637452	0.564025409562019	0.00167168171180207
ENST00000026218	2846	-1360.30	-0.0716795502459593	-0.00210822206605765	-0.323260716795502	0.498945888966971	0.51141795007966	-0.0525756771109931
ENST00000293925	7671	-2997.80	-0.0152522487289792	0.00586624951114589	-0.137009516360318	0.502933124755573	0.759000229305205	-0.0185737216234808
ENST00000349606	2796	-883.30	0.00929899856938476	-0.0371959942775393	0.0836909871244635	0.48140200286123	1.18266978922717	0.0507416081186573
ENST00000361729	5196	-2096.30	-0.0346420323325635	-0.0100076982294073	-0.148575827559661	0.494996150885296	0.741286863270777	-0.0214477211796246
ENST00000379989	3463	-1003.50	0.0349408027721629	0.108287611897199	0.0441813456540572	0.554143805948599	1.09244712990937	-0.0767371601208459
ENST00000356200	2653	-917.20	0.193366000753864	0.0365623822088201	-0.0961176027139088	0.51828119110441	0.824621733149931	0.143053645116919
ENST00000265727	2891	-868.20	0.0833621584226911	-0.0121065375302664	0.0923555863023174	0.493946731234867	1.20350609756098	0.105182926829268
ENST00000164024	11933	-5290.30	-0.0175144557110534	-0.00863152602027983	-0.227352719349702	0.49568423698986	0.629523419363649	-0.00723747098183808
ENST00000262304	14138	-6999.30	-0.0389022492573207	-0.0132974961097751	-0.339510538972981	0.493351251945112	0.493082690886049	-0.0191150068645052
ENST00000233099	6937	-1978.20	-0.00158569987026086	-0.0278218249963962	0.133054634568257	0.486089087501802	1.30695044895244	0.0302627203192551
