id	length	MFE	Z-curve_x	Z-curve_y	Z-curve_z	GC	AUGC	GCskew
ENST00000476405	4328	-1714.70	-0.00970425138632169	0.00323475046210719	-0.129390018484288	0.564695009242144	0.770867430441899	-0.0114566284779051
ENST00000371086	3555	-907.20	-0.00534458509142061	-0.0936708860759494	0.282700421940928	0.358649789029536	1.78823529411765	0.123137254901961
ENST00000373137	1838	-663.10	-0.0228509249183895	0.0554951033732318	-0.101196953210011	0.550598476605005	0.816205533596838	-0.0711462450592886
ENST00000379848	508	-132.70	0.0354330708661417	0.133858267716535	0.0433070866141732	0.478346456692913	1.09053497942387	-0.102880658436214
ENST00000536405	2466	-966.90	0.040551500405515	0.0348742903487429	-0.144363341443633	0.572181670721817	0.747696669029057	0.00496102055279946
ENST00000588189	547	-123.80	0.0676416819012797	0.144424131627057	0.0968921389396709	0.451553930530165	1.21457489878543	-0.0850202429149798
ENST00000412816	2031	-551.30	0.0418513047759723	0.00738552437223045	0.185622845888725	0.407188577055638	1.45586457073761	0.0423216444981862
ENST00000279067	928	-258.50	0.0280172413793103	0.084051724137931	0.0818965517241379	0.459051724137931	1.17840375586854	-0.0610328638497653
ENST00000553985	2322	-871.60	0.016365202411714	-0.0034453057708872	-0.0844099913867356	0.542204995693368	0.844320889594917	0.0182684670373312
ENST00000594203	2678	-1058.10	0.100074682598954	-0.0336071695294997	-0.115011202389843	0.557505601194922	0.79370395177495	0.119892833221701
ENST00000330825	2869	-1059.50	-0.0414778668525619	-0.0115022655977692	0.0470547228999652	0.476472638550017	1.09875640087783	-0.0314557425018288
ENST00000309874	2900	-1355.10	-0.00275862068965527	-0.0413793103448277	-0.251034482758621	0.62551724137931	0.598676957001103	0.0308710033076075
ENST00000412495	2302	-1003.20	0.0738488271068636	0.0590790616854909	-0.234578627280626	0.617289313640313	0.619985925404644	0.0119634060520759
ENST00000317019	3547	-1089.00	-0.031294051310967	-0.018325345362278	0.104031575979701	0.447984212010149	1.23222152297042	-0.0144745122718691
ENST00000314481	2255	-661.10	-0.0137472283813747	-0.00310421286031048	0.12549889135255	0.437250554323725	1.28701825557809	-0.0121703853955375
ENST00000624760	1714	-529.40	-0.0105017502917153	0.00116686114352388	0.0525087514585764	0.473745624270712	1.11083743842365	-0.0123152709359606
ENST00000550135	6438	-2644.50	0.0347934141037589	0.0164647406026717	-0.029201615408512	0.514600807704256	0.943253848475702	0.0178086326592212
ENST00000625080	2732	-672.10	-0.0995607613469986	-0.0585651537335286	0.232796486090776	0.383601756954612	1.60687022900763	-0.0534351145038168
ENST00000616163	2713	-912.50	0.0880943604865463	0.0519719867305566	0.00258016955399931	0.498709915223	1.00517368810052	0.0362158167036215
ENST00000619681	2371	-865.70	0.00379586672290172	-0.0721214677351329	-0.00716997047659218	0.503584985238296	0.985762144053601	0.0753768844221106
ENST00000429104	562	-139.20	0	-0.160142348754448	0.199288256227758	0.400355871886121	1.49777777777778	0.2
ENST00000326341	2557	-1010.50	0.00899491591709034	0.0668752444270631	-0.177942901838092	0.588971450919046	0.697875166002656	-0.049136786188579
ENST00000316786	3145	-1194.70	-0.01939586645469	-0.0321144674085851	-0.0798092209856915	0.539904610492846	0.852179034157833	0.0117785630153122
ENST00000366314	1566	-602.00	0.0344827586206896	-0.00127713920817363	-0.100893997445722	0.550446998722861	0.816705336426914	0.0324825986078885
ENST00000412091	682	-250.40	0.064516129032258	0.0234604105571847	-0.096774193548387	0.548387096774194	0.823529411764706	0.037433155080214
ENST00000321214	2243	-991.30	-0.0271957200178332	-0.0200624164065983	-0.214444939812751	0.607222469906375	0.646842878120411	-0.00587371512481638
ENST00000531565	1963	-814.40	0.0473764645950077	-0.098318899643403	-0.150280183392766	0.575140091696383	0.738706820194863	0.12666076173605
ENST00000328023	2470	-740.70	0.00566801619433188	0.0348178137651822	0.0866396761133603	0.45668016194332	1.18971631205674	-0.0319148936170213
ENST00000330490	823	-307.60	-0.0279465370595383	-0.0157958687727824	-0.130012150668287	0.565006075334143	0.76989247311828	-0.0107526881720431
ENST00000441947	2323	-994.80	-0.0236762806715454	0.0365906155832975	-0.241498062849763	0.620749031424882	0.610957004160888	-0.0485436893203883
ENST00000448927	4354	-1915.90	0.0211299954065227	0.067524115755627	-0.231511254019293	0.615755627009646	0.62402088772846	-0.0376725102573667
ENST00000332012	2023	-950.60	0.0469599604547701	0.00939199209095398	-0.257538309441424	0.628769154720712	0.590408805031447	0.029874213836478
ENST00000332440	579	-211.80	0.112262521588947	0.0397236614853195	-0.170984455958549	0.585492227979275	0.707964601769912	0.0619469026548673
